,venue_name,venue_latitude,venue_longitude,locality,average_price_for_two,price_range,aggregate_rating,votes
0,Green Theory,12.9686450000,77.6027430000,Residency Road,950,2,4.1,3327
1,Communiti,12.9722191879,77.6083690301,Residency Road,1500,3,4.7,7155
2,Hard Rock Cafe,12.9760339362,77.6015672833,St. Marks Road,2500,4,4.8,5920
3,Cafe Azzure,12.9749590430,77.6076025888,MG Road,900,2,4.3,3839
4,Olive Bar And Kitchen,12.9668857608,77.6081712171,Richmond Road,1800,3,4.6,2448
5,Arbor Brewing Company,12.9700615227,77.6108131930,Brigade Road,2000,4,4.2,8947
6,Church Street Social,12.9715490000,77.5985070000,Lavelle Road,1500,3,4.3,8266
7,Farzi Cafe,12.9720600755,77.5959014520,UB City,1600,3,4.5,2817
8,MISU,12.9707476387,77.6007877663,St. Marks Road,1700,3,4.4,2225
5,Brik Oven,12.9746779000,77.6054253000,Church Street,1200,3,4.4,3044
7,Hammered,12.9864758403,77.5949968770,Cunningham Road,1400,3,4.1,6305
1,Millers 46,12.9916108706,77.5940500572,Vasanth Nagar,1100,3,4.6,2390
2,1Q1 Kitchen & Bar,12.9837031150,77.5969237089,Cunningham Road,2500,4,4.3,767
3,Pasta Street,12.9883432551,77.5938576087,Cunningham Road,1500,3,4.3,3092
4,Blue Ginger - The Taj West End,12.9841111685,77.5839676335,"The Taj West End, Race Course Road",3200,4,4.4,558
5,Dolci Desserts,12.9864065797,77.5949770957,Cunningham Road,750,2,4.2,1003
6,Eden Park,12.9830879297,77.5986000896,Cunningham Road,1100,3,3.9,1024
7,Mudpipe Cafe,12.9882900033,77.5938777253,Cunningham Road,750,2,4.0,997
8,Ssaffron - Shangri-La Hotel,12.9921162658,77.5885059312,"Shangri-La Hotel, Vasanth Nagar ",3000,4,4.5,820
8,The White Room - Coffee & Kitchen,12.9754113000,77.6032320000,Church Street,1000,3,4.2,2042
0,The London Curry House - The Royale Senate Hotel,12.9852467888,77.5791664794,Race Course Road,1700,3,4.6,5257
1,The Green Path - Forgotten Food,12.9902975570,77.5718339905,Malleshwaram,600,2,3.9,1383
2,"Lush - Renaissance Hotel, Bengaluru",12.9846940077,77.5763719529,"Renaissance Hotel, Race Course Road",2500,4,4.5,924
3,Barbeque Nation,12.9827899744,77.5598934665,Rajajinagar,1600,3,3.8,2523
4,South Ruchis Square,12.9840245920,77.5781100243,Race Course Road,850,2,4.1,2126
5,Kava - Fairfield By Marriott,12.9836756718,77.5601834804,"Fairfield by Marriott,Rajajinagar ",1800,3,4.2,770
6,Sea Rock,12.9866114211,77.5795168430,Seshadripuram,1000,3,4.3,1130
7,Sanadige - Goldfinch Hotel,12.9851687069,77.5795688108,"Goldfinch Hotel, Seshadripuram",1200,3,4.1,541
