,Name,Latitude,Longitude,Category
0,UB City,12.971708980695311,77.59590528412356,Shopping Mall
1,Truffles - Ice & Spice,12.971801622357315,77.60103059863826,Burger Joint
2,Toscano,12.97198038085137,77.59606565238312,Italian Restaurant
3,Smoke House Deli,12.971656175823421,77.59825417986832,Deli / Bodega
4,JW Marriott Hotel Bengaluru,12.972361772490226,77.59505132638924,Hotel
5,Cubbon Park,12.977042175203783,77.59527683258057,Park
6,Corner House,12.972979021383468,77.59997124258985,Ice Cream Shop
7,Harima,12.967754615278329,77.60007264264614,Sushi Restaurant
8,M.G Road Boulevard,12.9757705183477,77.60397895324303,Plaza
9,Infinitea,12.987156756402875,77.59483450996156,Tea Room
10,The Oberoi,12.973457334267048,77.61828850236205,Hotel
11,Taj West End,12.984572066608893,77.58489294114838,Hotel
12,Corner House,12.98830366372137,77.57712961194349,Ice Cream Shop
13,Hard Rock Cafe Bengaluru,12.9763894,77.6014683,American Restaurant
14,M. Chinnaswamy Stadium,12.978144481391702,77.599222834094,Cricket Ground
15,Brahmins Coffee Bar,12.953983362173314,77.56886209640857,Breakfast Spot
16,The Ritz-Carlton,12.967478847122125,77.60175515707783,Hotel
17,Plan B,12.967779043693422,77.60730657768812,Pub
18,Airlines Hotel,12.972947919226808,77.59983134872871,Breakfast Spot
19,Millers 46,12.991665958945687,77.59420704126842,Steakhouse
20,Arbor Brewing Company,12.970139599197337,77.61085658133437,Brewery
21,Corner House,12.947282345541405,77.57682384041209,Dessert Shop
22,Mavalli Tiffin Room (MTR),12.955122296207755,77.58555184054242,Indian Restaurant
23,Toit Brewpub,12.979367419317535,77.64070245409556,Brewery
24,Ujwal Bar & Restaurant,12.99227960861634,77.59447349833962,Indian Restaurant
25,Asha Sweet Center,12.999370572624446,77.57132224515472,Snack Place
26,Shri Sagar (Formerly CTR),12.998309485708504,77.56945976452197,Indian Restaurant
27,Hari Super Sandwich,12.932947240497668,77.5825363305544,Sandwich Place
28,Sree Krishna Kafe,12.937064442898347,77.61972922183011,Breakfast Spot
29,Corner House,12.96997259210254,77.6374526658063,Ice Cream Shop
30,Truffles Ice & Spice,12.93344282897595,77.61426454051069,Burger Joint
31,Bodycraft,12.968497086164833,77.64128911181118,Spa
32,Orion Mall,13.011313244706537,77.55503923754937,Shopping Mall
33,Richard's Park,13.004261796386444,77.61739572327386,Park
34,Tommy Hilfiger,12.93455174548577,77.61134704464612,Clothing Store
35,O.G. Variar & Sons,12.991577953372982,77.5545605063243,Bakery
36,Rangashankara,12.911471798108657,77.58699744484541,Performing Arts Venue
37,Kota Kachori,12.936175734396235,77.6254861410792,Fast Food Restaurant
38,Fab India - Indiranagar,12.97816520071199,77.64160653370463,Boutique
39,Corner House,12.917455111168643,77.59328023350446,Ice Cream Shop
40,Natural Ice Cream,12.985484062294457,77.54315786791148,Ice Cream Shop
41,Affinity Gym,13.009358335496437,77.57967813676564,Gym
42,Corner House,12.922646994597416,77.57356049304346,Ice Cream Shop
43,"PVR Gold Class, Orion",13.010923124966338,77.55501011161395,Multiplex
44,O.G. Variar & Sons Bakery,12.987669226149016,77.54997826305166,Bakery
45,Lalbagh Botanical Garden,12.948948480114318,77.58695125579834,Botanical Garden
46,Galaxy Club - Brigade Gateway,13.011771985702998,77.55678839350443,Gym / Fitness Center
47,Ravindra Kalakshetra,12.962176250925962,77.58452795770042,Theater
48,S N Refreshments,12.9083716531078,77.58722416064232,Snack Place
49,Khan Saheb,12.971306924993241,77.63504312226704,Indian Restaurant
50,Sheraton Bangalore Hotel,13.0125129,77.5552546,Hotel
51,Corner House,12.909948588084937,77.65188251591857,Ice Cream Shop
52,PVR bluO,13.011197511086094,77.55505736954053,Bowling Alley
53,Glen's Bakehouse,12.979147820281199,77.64063514790993,Bakery
54,Central,13.01126087435231,77.5550342993936,Department Store
55,PVR Cinemas,13.010800728380858,77.55500467509675,Multiplex
56,Truffles,13.022477859058784,77.63967135583688,Bakery
57,Play Arena,12.911590581803074,77.67616892974699,General Entertainment
58,The Persian Terrace @ Sheraton Bridgade Gateway,13.012320458641893,77.55522089158474,Lounge
59,Starbucks,13.009074568908774,77.58042318321591,Coffee Shop
60,Thom's Bakery and Stores,12.99148884145578,77.61432761833794,Department Store
61,Pvr Gold Class,13.010713669809526,77.55502611919496,Movie Theater
62,Krispy Kreme Doughnuts,13.011302925409263,77.55503642450624,Donut Shop
63,Albek,12.996487384978787,77.56150245666504,Indian Restaurant
64,The Egg Factory,12.906303157262725,77.59039115402068,Breakfast Spot
65,Kaapi Katte,12.916458034417012,77.52056681279288,Café
66,BelgYum,12.997361986513575,77.69674382065826,Creperie
67,Windmills Craftworks,12.98246025089549,77.72186148869667,Brewery
68,Kanua,12.90898394503629,77.68070249707954,Indian Restaurant
69,Phoenix Marketcity,12.9974177,77.6965593,Shopping Mall
70,Blue o - Orion mall,13.011356968278331,77.55521084441455,Bowling Alley
71,By 2 coffee,12.964765741776635,77.53886512623342,Coffee Shop
72,SLV Coffee bar,12.924121068866075,77.56651085293741,Fast Food Restaurant
73,1522 - The Pub,13.007842516912136,77.55735525290685,Pub
74,Mezzaluna,13.042339214023034,77.55473783528103,Italian Restaurant
75,Tesco HSC,12.973878114553312,77.72775107144086,Office
76,Swensens,12.876071367527341,77.59554190286784,Ice Cream Shop
77,Variar Bakery,12.987441249738948,77.54982632294248,Bakery
78,Zara,13.010861157628172,77.55503606553525,Clothing Store
